id,question,choice_a,choice_b,choice_c,choice_d,answer,category,explanation
16,キリスト教における「三位一体」の説明として正しいものはどれか,神・人間・自然の三要素,父・子・聖霊が同一の神である,三人の異なる神が存在する,神と預言者と天使の関係,B,キリスト教,A：神・人間・自然の三要素（誤り。別の宗教・概念・数値・特徴を指す。） / B：父・子・聖霊が同一の神である（正解。この設問の条件に合致する。） / C：三人の異なる神が存在する（誤り。別の宗教・概念・数値・特徴を指す。） / D：神と預言者と天使の関係（誤り。別の宗教・概念・数値・特徴を指す。）
17,カトリック教会の特徴として正しいものはどれか,教皇を認めない,イコン崇拝を重視する,ローマ教皇を最高権威とする,聖書のみを信仰の基準とする,C,キリスト教,A：教皇を認めない（誤り。別の宗教・概念・数値・特徴を指す。） / B：イコン崇拝を重視する（誤り。別の宗教・概念・数値・特徴を指す。） / C：ローマ教皇を最高権威とする（正解。この設問の条件に合致する。） / D：聖書のみを信仰の基準とする（誤り。別の宗教・概念・数値・特徴を指す。）
18,正教会に関する説明として正しいものはどれか,プロテスタントの一派である,ロシアを中心に広がっている,教皇を頂点とする組織をもつ,新約聖書を用いない,B,キリスト教,A：プロテスタントの一派である（誤り。別の宗教・概念・数値・特徴を指す。） / B：ロシアを中心に広がっている（正解。この設問の条件に合致する。） / C：教皇を頂点とする組織をもつ（誤り。別の宗教・概念・数値・特徴を指す。） / D：新約聖書を用いない（誤り。別の宗教・概念・数値・特徴を指す。）
19,プロテスタントに共通する特徴として最も適切なものはどれか,教皇の権威を認める,儀礼と聖職者を重視する,聖書を信仰の唯一の基準とする,イコンを用いた礼拝を行う,C,キリスト教,A：教皇の権威を認める（誤り。別の宗教・概念・数値・特徴を指す。） / B：儀礼と聖職者を重視する（誤り。別の宗教・概念・数値・特徴を指す。） / C：聖書を信仰の唯一の基準とする（正解。この設問の条件に合致する。） / D：イコンを用いた礼拝を行う（誤り。別の宗教・概念・数値・特徴を指す。）
20,旧約聖書・新約聖書における「約（やく）」の意味として最も適切なものはどれか,神と人間との間の契約,神が人間に与えた戒律の総称,神話的な象徴表現,未来の終末に関する予言,A,キリスト教,A：神と人間との間の契約（正解。この設問の条件に合致する。） / B：神が人間に与えた戒律の総称（誤り。別の宗教・概念・数値・特徴を指す。） / C：神話的な象徴表現（誤り。別の宗教・概念・数値・特徴を指す。） / D：未来の終末に関する予言（誤り。別の宗教・概念・数値・特徴を指す。）
21,福音書の説明としてふさわしくないものはどれか,イエスの生と教えを記した文書である,新約聖書に含まれる,モーセの律法を中心に構成されている,マタイ・マルコ・ルカ・ヨハネの四書がある,C,キリスト教,A：イエスの生と教えを記した文書である（誤り。別の宗教・概念・数値・特徴を指す。） / B：新約聖書に含まれる（誤り。別の宗教・概念・数値・特徴を指す。） / C：モーセの律法を中心に構成されている（正解。この設問の条件に合致する。） / D：マタイ・マルコ・ルカ・ヨハネの四書がある（誤り。別の宗教・概念・数値・特徴を指す。）
22,ペンテコステの説明として最も適切なものはどれか,イエスが誕生した日,聖霊が弟子たちに降臨した出来事,最後の晩餐を記念する祭日,イエスが処刑された日,B,キリスト教,A：イエスが誕生した日（誤り。別の宗教・概念・数値・特徴を指す。） / B：聖霊が弟子たちに降臨した出来事（正解。この設問の条件に合致する。） / C：最後の晩餐を記念する祭日（誤り。別の宗教・概念・数値・特徴を指す。） / D：イエスが処刑された日（誤り。別の宗教・概念・数値・特徴を指す。）
23,イスラーム教の開祖として正しいものはどれか,モーセ,イエス,ムハンマド,ゴータマ・シッダールタ,C,イスラーム,A：モーセ（誤り。別の宗教・概念・数値・特徴を指す。） / B：イエス（誤り。別の宗教・概念・数値・特徴を指す。） / C：ムハンマド（正解。この設問の条件に合致する。） / D：ゴータマ・シッダールタ（誤り。別の宗教・概念・数値・特徴を指す。）
24,イスラームの聖典として正しいものはどれか,トーラー,クルアーン,アヴェスター,新約聖書,B,イスラーム,A：トーラー（誤り。別の宗教・概念・数値・特徴を指す。） / B：クルアーン（正解。この設問の条件に合致する。） / C：アヴェスター（誤り。別の宗教・概念・数値・特徴を指す。） / D：新約聖書（誤り。別の宗教・概念・数値・特徴を指す。）
25,現在、世界最大のムスリム人口を持つ国として正しいものはどれか,サウジアラビア,イラン,インドネシア,エジプト,C,イスラーム,A：サウジアラビア（誤り。別の宗教・概念・数値・特徴を指す。） / B：イラン（誤り。別の宗教・概念・数値・特徴を指す。） / C：インドネシア（正解。この設問の条件に合致する。） / D：エジプト（誤り。別の宗教・概念・数値・特徴を指す。）
26,イスラーム教の五行に含まれないものはどれか,信仰告白,喜捨,巡礼,洗礼,D,イスラーム,A：信仰告白（誤り。別の宗教・概念・数値・特徴を指す。） / B：喜捨（誤り。別の宗教・概念・数値・特徴を指す。） / C：巡礼（誤り。別の宗教・概念・数値・特徴を指す。） / D：洗礼（正解。この設問の条件に合致する。）
27,イスラーム教の六信に含まれないものはどれか,神への信仰,天使への信仰,来世への信仰,輪廻転生への信仰,D,イスラーム,A：神への信仰（誤り。別の宗教・概念・数値・特徴を指す。） / B：天使への信仰（誤り。別の宗教・概念・数値・特徴を指す。） / C：来世への信仰（誤り。別の宗教・概念・数値・特徴を指す。） / D：輪廻転生への信仰（正解。この設問の条件に合致する。）
28,スンニ派とシーア派の違いとして最も適切なものはどれか,神の数の違い,聖典の違い,ムハンマド後継者の考え方,五行の内容の違い,C,イスラーム,A：神の数の違い（誤り。別の宗教・概念・数値・特徴を指す。） / B：聖典の違い（誤り。別の宗教・概念・数値・特徴を指す。） / C：ムハンマド後継者の考え方（正解。この設問の条件に合致する。） / D：五行の内容の違い（誤り。別の宗教・概念・数値・特徴を指す。）
29,ヒンドゥー教について正しいものはどれか,開祖が明確に存在する,唯一神信仰である,ヴェーダを聖典とする,輪廻転生を否定する,C,ヒンドゥー教,A：開祖が明確に存在する（誤り。別の宗教・概念・数値・特徴を指す。） / B：唯一神信仰である（誤り。別の宗教・概念・数値・特徴を指す。） / C：ヴェーダを聖典とする（正解。この設問の条件に合致する。） / D：輪廻転生を否定する（誤り。別の宗教・概念・数値・特徴を指す。）
30,ヒンドゥー教における三大神の組み合わせとして正しいものはどれか,ブラフマー・ヴィシュヌ・シヴァ,ヤハウェ・アッラー・ブラフマン,イエス・ムハンマド・モーセ,天照大神・須佐之男・月読命,A,ヒンドゥー教,A：ブラフマー・ヴィシュヌ・シヴァ（正解。この設問の条件に合致する。） / B：ヤハウェ・アッラー・ブラフマン（誤り。別の宗教・概念・数値・特徴を指す。） / C：イエス・ムハンマド・モーセ（誤り。別の宗教・概念・数値・特徴を指す。） / D：天照大神・須佐之男・月読命（誤り。別の宗教・概念・数値・特徴を指す。）
31,ヒンドゥー教の前身となった宗教は何か,ジャイナ教,シク教,バラモン教,ゾロアスター教,C,ヒンドゥー教,A：ジャイナ教（誤り。別の宗教・概念・数値・特徴を指す。） / B：シク教（誤り。別の宗教・概念・数値・特徴を指す。） / C：バラモン教（正解。この設問の条件に合致する。） / D：ゾロアスター教（誤り。別の宗教・概念・数値・特徴を指す。）
32,ヴァルナ制における「バラモン」の役割として正しいものはどれか,王族と武士,祭司,庶民,隷属民,B,ヒンドゥー教,A：王族と武士（誤り。別の宗教・概念・数値・特徴を指す。） / B：祭司（正解。この設問の条件に合致する。） / C：庶民（誤り。別の宗教・概念・数値・特徴を指す。） / D：隷属民（誤り。別の宗教・概念・数値・特徴を指す。）
33,ヒンドゥー教の「トリムールティ（三神一体）」に含まれない神はどれか,ブラフマー,ヴィシュヌ,シヴァ,ガネーシャ,D,ヒンドゥー教,A：ブラフマー（誤り。別の宗教・概念・数値・特徴を指す。） / B：ヴィシュヌ（誤り。別の宗教・概念・数値・特徴を指す。） / C：シヴァ（誤り。別の宗教・概念・数値・特徴を指す。） / D：ガネーシャ（正解。この設問の条件に合致する。）
34,インドで最も信者数が多い宗教と成人人口に占める割合の組み合わせとして正しいものはどれか,イスラム教 - 約80%,ヒンドゥー教 - 約80%,仏教 - 約60%,シク教 - 約50%,B,ヒンドゥー教,A：イスラム教 - 約80%（誤り。別の宗教・概念・数値・特徴を指す。） / B：ヒンドゥー教 - 約80%（正解。この設問の条件に合致する。） / C：仏教 - 約60%（誤り。別の宗教・概念・数値・特徴を指す。） / D：シク教 - 約50%（誤り。別の宗教・概念・数値・特徴を指す。）
35,『ラーマーヤナ』の主人公であるラーマ王子はどの神の化身とされているか,ブラフマー,シヴァ,ヴィシュヌ,ガネーシャ,C,ヒンドゥー教,A：ブラフマー（誤り。別の宗教・概念・数値・特徴を指す。） / B：シヴァ（誤り。別の宗教・概念・数値・特徴を指す。） / C：ヴィシュヌ（正解。この設問の条件に合致する。） / D：ガネーシャ（誤り。別の宗教・概念・数値・特徴を指す。）
36,「梵我一如」の概念において「梵（ブラフマン）」と「我（アートマン）」はそれぞれ何を指すか,梵＝個体原理、我＝宇宙原理,梵＝宇宙原理、我＝個体原理,梵＝輪廻、我＝解脱,梵＝破壊、我＝創造,B,ヒンドゥー教,A：梵＝個体原理、我＝宇宙原理（誤り。別の宗教・概念・数値・特徴を指す。） / B：梵＝宇宙原理、我＝個体原理（正解。この設問の条件に合致する。） / C：梵＝輪廻、我＝解脱（誤り。別の宗教・概念・数値・特徴を指す。） / D：梵＝破壊、我＝創造（誤り。別の宗教・概念・数値・特徴を指す。）
37,ヒンドゥー教徒が神聖視しその肉を食べない動物はどれか,豚,羊,牛,鶏,C,ヒンドゥー教,A：豚（誤り。別の宗教・概念・数値・特徴を指す。） / B：羊（誤り。別の宗教・概念・数値・特徴を指す。） / C：牛（正解。この設問の条件に合致する。） / D：鶏（誤り。別の宗教・概念・数値・特徴を指す。）
38,2006年までヒンドゥー教を国教としていた唯一の国はどこか,インド,ネパール,バングラデシュ,スリランカ,B,ヒンドゥー教,A：インド（誤り。別の宗教・概念・数値・特徴を指す。） / B：ネパール（正解。この設問の条件に合致する。） / C：バングラデシュ（誤り。別の宗教・概念・数値・特徴を指す。） / D：スリランカ（誤り。別の宗教・概念・数値・特徴を指す。）
39,バラモン教の基盤となった民族として正しいものはどれか,ドラヴィダ人,アーリア人,モンゴル人,ペルシア人,B,ヒンドゥー教,A：ドラヴィダ人（誤り。別の宗教・概念・数値・特徴を指す。） / B：アーリア人（正解。この設問の条件に合致する。） / C：モンゴル人（誤り。別の宗教・概念・数値・特徴を指す。） / D：ペルシア人（誤り。別の宗教・概念・数値・特徴を指す。）
40,シヴァ神の特徴として正しいものはどれか,四つの顔を持ち壺や聖典を持つ,手に円盤やほら貝などの武器を持つ,三つ目で頭上に月と蛇がある,象の頭を持つ,C,ヒンドゥー教,A：四つの顔を持ち壺や聖典を持つ（誤り。別の宗教・概念・数値・特徴を指す。） / B：手に円盤やほら貝などの武器を持つ（誤り。別の宗教・概念・数値・特徴を指す。） / C：三つ目で頭上に月と蛇がある（正解。この設問の条件に合致する。） / D：象の頭を持つ（誤り。別の宗教・概念・数値・特徴を指す。）
41,仏教の開祖として正しいものはどれか,マハーヴィーラ,ゴータマ・シッダールタ,アショーカ王,孔子,B,仏教,A：マハーヴィーラ（誤り。別の宗教・概念・数値・特徴を指す。） / B：ゴータマ・シッダールタ（正解。この設問の条件に合致する。） / C：アショーカ王（誤り。別の宗教・概念・数値・特徴を指す。） / D：孔子（誤り。別の宗教・概念・数値・特徴を指す。）
42,仏教の基本的な目的として最も適切なものはどれか,神への服従,現世利益の追求,苦からの解脱,国家の安定,C,仏教,A：神への服従（誤り。別の宗教・概念・数値・特徴を指す。） / B：現世利益の追求（誤り。別の宗教・概念・数値・特徴を指す。） / C：苦からの解脱（正解。この設問の条件に合致する。） / D：国家の安定（誤り。別の宗教・概念・数値・特徴を指す。）
43,上座仏教と大乗仏教の違いとして正しいものはどれか,経典の言語,神の有無,救済対象の範囲,出家制度の有無,C,仏教,A：経典の言語（誤り。別の宗教・概念・数値・特徴を指す。） / B：神の有無（誤り。別の宗教・概念・数値・特徴を指す。） / C：救済対象の範囲（正解。この設問の条件に合致する。） / D：出家制度の有無（誤り。別の宗教・概念・数値・特徴を指す。）
44,仏陀（ゴータマ・シッダールタ）の死を表す語として最も適切なものはどれか,入滅,解脱,般涅槃,成道,C,仏教,A：入滅（誤り。別の宗教・概念・数値・特徴を指す。） / B：解脱（誤り。別の宗教・概念・数値・特徴を指す。） / C：般涅槃（正解。この設問の条件に合致する。） / D：成道（誤り。別の宗教・概念・数値・特徴を指す。）
45,四諦の内容として正しい組み合わせはどれか,苦・集・滅・道,生・老・病・死,無常・苦・無我・空,正見・正思・正語・正業,A,仏教,A：苦・集・滅・道（正解。この設問の条件に合致する。） / B：生・老・病・死（誤り。別の宗教・概念・数値・特徴を指す。） / C：無常・苦・無我・空（誤り。別の宗教・概念・数値・特徴を指す。） / D：正見・正思・正語・正業（誤り。別の宗教・概念・数値・特徴を指す。）
46,三法印に含まれないものはどれか,無常,無我,苦,常楽我浄,D,仏教,A：無常（誤り。別の宗教・概念・数値・特徴を指す。） / B：無我（誤り。別の宗教・概念・数値・特徴を指す。） / C：苦（誤り。別の宗教・概念・数値・特徴を指す。） / D：常楽我浄（正解。この設問の条件に合致する。）
47,仏教における三種類の仏典の正しい組み合わせはどれか,経・律・論,聖書・律法・福音,詩・預言・歴史,教義・戒律・神話,A,仏教,A：経・律・論（正解。この設問の条件に合致する。） / B：聖書・律法・福音（誤り。別の宗教・概念・数値・特徴を指す。） / C：詩・預言・歴史（誤り。別の宗教・概念・数値・特徴を指す。） / D：教義・戒律・神話（誤り。別の宗教・概念・数値・特徴を指す。）
48,仏教の開祖ゴータマ・シッダールタが生きていたのは何世紀頃か,紀元前1〜2世紀,紀元前5〜6世紀,紀元後1〜2世紀,紀元後5〜6世紀,B,仏教,A：紀元前1〜2世紀（誤り。別の宗教・概念・数値・特徴を指す。） / B：紀元前5〜6世紀（正解。この設問の条件に合致する。） / C：紀元後1〜2世紀（誤り。別の宗教・概念・数値・特徴を指す。） / D：紀元後5〜6世紀（誤り。別の宗教・概念・数値・特徴を指す。）
49,「仏陀（ブッダ）」というサンスクリット語の意味として正しいものはどれか,救済者・導く者,目覚めた者・悟った者,創造者・支配する者,修行者・苦行する者,B,仏教,A：救済者・導く者（誤り。別の宗教・概念・数値・特徴を指す。） / B：目覚めた者・悟った者（正解。この設問の条件に合致する。） / C：創造者・支配する者（誤り。別の宗教・概念・数値・特徴を指す。） / D：修行者・苦行する者（誤り。別の宗教・概念・数値・特徴を指す。）
50,ブッダが出家を決意するきっかけとなった経験を表す四字熟語はどれか,四苦八苦,因果応報,四門出遊,諸行無常,C,仏教,A：四苦八苦（誤り。別の宗教・概念・数値・特徴を指す。） / B：因果応報（誤り。別の宗教・概念・数値・特徴を指す。） / C：四門出遊（正解。この設問の条件に合致する。） / D：諸行無常（誤り。別の宗教・概念・数値・特徴を指す。）
51,ブッダが悟りを開いた場所とその時に座っていた木の組み合わせとして正しいものはどれか,サールナート・沙羅双樹,ブッダガヤー・菩提樹,ルンビニー・菩提樹,クシナガラ・沙羅双樹,B,仏教,A：サールナート・沙羅双樹（誤り。別の宗教・概念・数値・特徴を指す。） / B：ブッダガヤー・菩提樹（正解。この設問の条件に合致する。） / C：ルンビニー・菩提樹（誤り。別の宗教・概念・数値・特徴を指す。） / D：クシナガラ・沙羅双樹（誤り。別の宗教・概念・数値・特徴を指す。）
52,「四諦」のうち苦しみの根源は煩悩と欲望であるという真理を何というか,苦諦,集諦,滅諦,道諦,B,仏教,A：苦諦（誤り。別の宗教・概念・数値・特徴を指す。） / B：集諦（正解。この設問の条件に合致する。） / C：滅諦（誤り。別の宗教・概念・数値・特徴を指す。） / D：道諦（誤り。別の宗教・概念・数値・特徴を指す。）
53,仏典の総称である「三蔵」に含まれないものはどれか,律（ヴィナヤ）,経（スートラ）,論（アビダルマ）,讃（ストートラ）,D,仏教,A：律（ヴィナヤ）（誤り。別の宗教・概念・数値・特徴を指す。） / B：経（スートラ）（誤り。別の宗教・概念・数値・特徴を指す。） / C：論（アビダルマ）（誤り。別の宗教・概念・数値・特徴を指す。） / D：讃（ストートラ）（正解。この設問の条件に合致する。）
54,上座部仏教の特徴として正しいものはどれか,漢訳仏典を使用し東アジアに広がった,パーリ語の聖典を使用し東南アジアに広がった,チベット語聖典を使用しモンゴルに広がった,サンスクリット語聖典を使用し中央アジアに広がった,B,仏教,A：漢訳仏典を使用し東アジアに広がった（誤り。別の宗教・概念・数値・特徴を指す。） / B：パーリ語の聖典を使用し東南アジアに広がった（正解。この設問の条件に合致する。） / C：チベット語聖典を使用しモンゴルに広がった（誤り。別の宗教・概念・数値・特徴を指す。） / D：サンスクリット語聖典を使用し中央アジアに広がった（誤り。別の宗教・概念・数値・特徴を指す。）
55,大乗仏教の特徴として正しいものはどれか,修行者のみが悟りを得られる,寺院での崇拝対象は釈迦のみである,出家者・在家者を問わずすべての人が悟りを得られる,自分の悟りのみを目指す修行を重視する,C,仏教,A：修行者のみが悟りを得られる（誤り。別の宗教・概念・数値・特徴を指す。） / B：寺院での崇拝対象は釈迦のみである（誤り。別の宗教・概念・数値・特徴を指す。） / C：出家者・在家者を問わずすべての人が悟りを得られる（正解。この設問の条件に合致する。） / D：自分の悟りのみを目指す修行を重視する（誤り。別の宗教・概念・数値・特徴を指す。）
56,チベット仏教の特徴として正しいものはどれか,仏教（特に密教）と土着宗教（ボン教）の混合,パーリ語の聖典のみを使用,転生の概念を否定している,バラモン教の儀礼をそのまま継承している,A,仏教,A：仏教（特に密教）と土着宗教（ボン教）の混合（正解。この設問の条件に合致する。） / B：パーリ語の聖典のみを使用（誤り。別の宗教・概念・数値・特徴を指す。） / C：転生の概念を否定している（誤り。別の宗教・概念・数値・特徴を指す。） / D：バラモン教の儀礼をそのまま継承している（誤り。別の宗教・概念・数値・特徴を指す。）
57,ブッダが最初の説法（初転法輪）を行った場所はどこか,ルンビニー,ブッダガヤー,サールナート（鹿野苑）,クシナガラ,C,仏教,A：ルンビニー（誤り。別の宗教・概念・数値・特徴を指す。） / B：ブッダガヤー（誤り。別の宗教・概念・数値・特徴を指す。） / C：サールナート（鹿野苑）（正解。この設問の条件に合致する。） / D：クシナガラ（誤り。別の宗教・概念・数値・特徴を指す。）
58,「三法印」に含まれないものはどれか,諸行無常,諸法無我,涅槃寂静,因果応報,D,仏教,A：諸行無常（誤り。別の宗教・概念・数値・特徴を指す。） / B：諸法無我（誤り。別の宗教・概念・数値・特徴を指す。） / C：涅槃寂静（誤り。別の宗教・概念・数値・特徴を指す。） / D：因果応報（正解。この設問の条件に合致する。）
59,17世紀からチベット仏教の指導者となっている人物の称号はどれか,法王,ダライ・ラマ,大僧正,カリフ,B,仏教,A：法王（誤り。別の宗教・概念・数値・特徴を指す。） / B：ダライ・ラマ（正解。この設問の条件に合致する。） / C：大僧正（誤り。別の宗教・概念・数値・特徴を指す。） / D：カリフ（誤り。別の宗教・概念・数値・特徴を指す。）
60,ブッダが亡くなった（入滅した）場所はどこか,ルンビニー,ブッダガヤー,サールナート,クシナガラ,D,仏教,A：ルンビニー（誤り。別の宗教・概念・数値・特徴を指す。） / B：ブッダガヤー（誤り。別の宗教・概念・数値・特徴を指す。） / C：サールナート（誤り。別の宗教・概念・数値・特徴を指す。） / D：クシナガラ（正解。この設問の条件に合致する。）
61,仏教が目指す最終的な目標は何か,輪廻の継続,解脱（輪廻からの脱出）,バラモンになること,王族への転生,B,仏教,A：輪廻の継続（誤り。別の宗教・概念・数値・特徴を指す。） / B：解脱（輪廻からの脱出）（正解。この設問の条件に合致する。） / C：バラモンになること（誤り。別の宗教・概念・数値・特徴を指す。） / D：王族への転生（誤り。別の宗教・概念・数値・特徴を指す。）
62,神道について正しいものはどれか,開祖と明確な教典をもつ,唯一神信仰である,自然や祖先を神として崇拝する,輪廻転生を中心教義とする,C,神道,A：開祖と明確な教典をもつ（誤り。別の宗教・概念・数値・特徴を指す。） / B：唯一神信仰である（誤り。別の宗教・概念・数値・特徴を指す。） / C：自然や祖先を神として崇拝する（正解。この設問の条件に合致する。） / D：輪廻転生を中心教義とする（誤り。別の宗教・概念・数値・特徴を指す。）
63,神道の起源について正しい記述はどれか,孔子が開祖である,特定の開祖はなく自然発生的に成立した,仏教伝来後に新しく創設された,キリスト教の影響を受けて成立した,B,神道,A：孔子が開祖である（誤り。別の宗教・概念・数値・特徴を指す。） / B：特定の開祖はなく自然発生的に成立した（正解。この設問の条件に合致する。） / C：仏教伝来後に新しく創設された（誤り。別の宗教・概念・数値・特徴を指す。） / D：キリスト教の影響を受けて成立した（誤り。別の宗教・概念・数値・特徴を指す。）
64,神道において神（カミ）が宿る媒介物を何というか,御神体,依代,本地仏,神宮寺,B,神道,A：御神体（誤り。別の宗教・概念・数値・特徴を指す。） / B：依代（正解。この設問の条件に合致する。） / C：本地仏（誤り。別の宗教・概念・数値・特徴を指す。） / D：神宮寺（誤り。別の宗教・概念・数値・特徴を指す。）
65,神社の基本構造においてご神体が安置される場所を何というか,拝殿,本殿,神楽殿,鳥居,B,神道,A：拝殿（誤り。別の宗教・概念・数値・特徴を指す。） / B：本殿（正解。この設問の条件に合致する。） / C：神楽殿（誤り。別の宗教・概念・数値・特徴を指す。） / D：鳥居（誤り。別の宗教・概念・数値・特徴を指す。）
66,伊勢神宮で20年に1度行われる神社を建て替える行事を何というか,遷宮,神幸祭,例大祭,祈年祭,A,神道,A：遷宮（正解。この設問の条件に合致する。） / B：神幸祭（誤り。別の宗教・概念・数値・特徴を指す。） / C：例大祭（誤り。別の宗教・概念・数値・特徴を指す。） / D：祈年祭（誤り。別の宗教・概念・数値・特徴を指す。）
